1384104285273 0c:68:03:e4:4e:72 -81 2412 AirBears2
1384104285273 f0:d1:a9:14:d7:d7 -81 5785 
1384104285273 0c:68:03:b8:a6:ee -82 5745 attwifi
1384104285273 0c:68:03:b8:a6:e1 -83 2462 attwifi
1384104285273 0c:68:03:ea:07:cf -85 5180 AirBears
1384104285273 0c:68:03:b8:3d:fe -85 5320 attwifi
1384104285273 0c:68:03:ea:10:21 -85 2437 attwifi
1384104285273 0c:68:03:ea:10:20 -85 2437 AirBears
1384104285273 0c:68:03:b8:3d:fd -86 5320 AirBears2
1384104285273 0c:68:03:ea:07:cd -86 5180 AirBears2
1384104285273 0c:68:03:ea:05:40 -86 2462 AirBears
1384104285273 0c:68:03:d6:bc:c0 -86 2462 AirBears
1384104285273 0c:68:03:d6:bc:c2 -86 2462 AirBears2
1384104285273 0c:68:03:b8:3d:ff -86 5320 AirBears
1384104285273 90:84:0d:da:23:63 -86 2462 AckPort
1384104285273 0c:68:03:ea:05:42 -86 2462 AirBears2
1384104285273 0c:68:03:ea:05:4d -88 5320 AirBears2
1384104285273 0c:68:03:e4:4e:7f -88 5180 AirBears
1384104285273 f0:d1:a9:15:96:91 -89 5785 
1384104285273 0c:68:03:ea:10:2e -89 5500 attwifi
1384104285273 0c:68:03:ea:10:2d -90 5500 AirBears2
1384104285273 f0:d1:a9:12:1c:b1 -90 5785 
1384104285273 0c:68:03:ea:10:2f -91 5500 AirBears
1384104285273 08:86:3b:19:c0:60 -92 2462 Kriegsfeld
1384104285273 00:1c:b3:af:99:06 -92 2437 MVZ-GIS
1384104285273 00:21:29:76:24:a6 -92 2437 SimmsLab
